days_elapsed,time_fraction,artist,album,song,story-category,emotion
257,13.75,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
257,13.83,MÌ÷,No Mythologies to Follow (Deluxe),Walk This Way,work,positive
257,13.90,The Blow,The Blow,From the Future,none,positive
257,1.43,MÌ÷,No Mythologies to Follow (Deluxe),Walk This Way,work,positive
257,1.53,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
257,1.60,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
258,13.72,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
258,13.77,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
258,13.92,MÌ÷,No Mythologies to Follow (Deluxe),Walk This Way,work,positive
258,13.98,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
258,14.07,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
258,14.12,The Blow,The Blow,From the Future,none,positive
258,14.20,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
258,23.98,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
258,0.07,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
258,0.13,Taylor Swift,1989 (Deluxe),Style,relationship,positive
258,0.20,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
258,4.73,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
259,14.48,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
259,14.53,Taylor Swift,1989 (Deluxe),Style,relationship,positive
259,14.58,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
259,14.63,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
259,14.70,Taylor Swift,1989 (Deluxe),Shake It Off,relationship,positive
259,14.82,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
259,20.37,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
259,20.37,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
260,16.22,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
263,22.05,Taylor Swift,1989 (Deluxe),Welcome to New York,nyc,positive
263,22.15,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
263,22.25,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
263,22.33,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
263,22.42,MÌ÷,No Mythologies to Follow (Deluxe),Walk This Way,work,positive
263,22.50,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
263,22.55,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
264,13.62,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
264,14.27,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
264,1.00,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
264,1.22,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
264,1.30,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
265,15.22,Banks,London,This Is What It Feels Like,work,negative
265,15.50,The Chemical Brothers,Further,K+D+B,none,positive
265,16.48,Arcade Fire,The Suburbs,Sprawl II (Mountains Beyond Mountains),nyc,negative
265,5.58,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
265,5.67,Taylor Swift,1989 (Deluxe),Welcome to New York,nyc,positive
265,5.73,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
265,6.05,Charli XCX,True Romance,What I Like,work,positive
267,13.27,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
267,13.45,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
267,13.75,Estelle,Total Club Hits Vol. 2,American Boy,relationship,positive
267,2.58,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
267,2.67,Jessie J,my everything (deluxe),Bang Bang,relationship,positive
267,3.10,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
268,15.02,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
268,15.10,Ariana Grande,Problem,Problem,relationship,positive
268,22.85,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
268,22.93,Ariana Grande,Problem,Problem,relationship,positive
269,15.92,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
269,16.02,Ariana Grande,Problem,Problem,relationship,positive
269,23.33,Ariana Grande,Problem,Problem,relationship,positive
269,1.35,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
269,1.42,Taylor Swift,1989 (Deluxe),Welcome to New York,nyc,positive
269,1.48,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
270,13.87,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
270,17.40,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
270,17.50,Taylor Swift,1989 (Deluxe),Welcome to New York,nyc,positive
270,17.55,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
270,17.63,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
270,23.93,Ariana Grande,Problem,Problem,relationship,positive
270,0.02,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
271,16.22,Jhameel,Waves: White Lie,White Lie,relationship,mixed
271,16.63,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
271,1.62,Ariana Grande,Problem,Problem,relationship,positive
271,2.30,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
271,2.38,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
271,2.68,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
272,14.37,Ariana Grande,Problem,Problem,relationship,positive
272,15.20,Taylor Swift,1989 (Deluxe),Welcome to New York,nyc,positive
272,15.27,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
272,0.58,Ariana Grande,Problem,Problem,relationship,positive
272,0.65,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
273,13.98,Ariana Grande,Problem,Problem,relationship,positive
273,14.05,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
273,14.30,La Roux,La Roux,Bulletproof,relationship,mixed
273,15.03,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
273,0.25,Ariana Grande,Problem,Problem,relationship,positive
273,0.35,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
273,3.73,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
274,15.13,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
274,15.22,Ariana Grande,Problem,Problem,relationship,positive
274,1.68,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
274,1.77,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
275,20.27,Sylvan Esso,Play It Right,Play It Right,nyc,positive
275,20.32,Sylvan Esso,Coffee,Coffee,none,positive
275,20.40,Sylvan Esso,Sylvan Esso,Coffee,none,positive
275,22.05,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
275,22.12,The Blow,The Blow,From the Future,none,positive
275,22.17,MÌ÷,No Mythologies to Follow (Deluxe),Walk This Way,work,positive
276,19.18,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
277,14.42,Jessie J,Sweet Talker (Deluxe Version),Bang Bang,relationship,positive
277,14.58,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
277,14.87,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
277,15.45,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
277,2.08,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
277,2.25,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
277,2.37,Jhameel,Waves: White Lie,White Lie,relationship,mixed
277,2.50,Jhameel,,Feisty,relationship,positive
278,14.75,Jhameel,,Feisty,relationship,positive
278,14.90,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
280,7.40,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
282,15.47,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
283,20.18,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
283,20.63,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
283,20.72,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
283,20.77,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
283,22.57,Jhameel,,Feisty,relationship,positive
283,22.83,Jhameel,,Feisty,relationship,positive
284,14.38,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
284,14.55,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
284,14.60,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
285,16.12,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
285,16.43,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
285,16.48,Sylvan Esso,Sylvan Esso,Coffee,none,positive
285,16.63,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
285,16.67,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
285,21.58,Ariana Grande,Problem,Problem,relationship,positive
285,0.08,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
285,4.63,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
285,4.70,Jhameel,,Feisty,relationship,positive
285,4.87,Taylor Swift,1989 (Deluxe),Welcome to New York,nyc,positive
286,0.40,La Roux,La Roux,Bulletproof,relationship,mixed
286,0.60,La Roux,La Roux,Bulletproof,relationship,mixed
286,2.48,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
286,2.53,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
286,2.97,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
288,17.35,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
288,17.42,Taylor Swift,1989 (Deluxe),Style,relationship,positive
288,17.48,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
288,23.98,Jessie J,my everything (deluxe),Bang Bang,relationship,positive
288,0.18,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
288,0.22,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
288,0.38,SBTRKT,NEW DORP. NEW YORK,NEW DORP. NEW YORK,nyc,positive
288,1.38,SBTRKT,NEW DORP. NEW YORK,NEW DORP. NEW YORK,nyc,positive
288,1.93,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
288,5.45,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
288,5.67,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
288,6.02,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
289,16.55,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
289,16.62,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
289,16.68,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
289,16.73,Taylor Swift,1989 (Deluxe),Shake It Off,relationship,positive
289,18.45,Jessie J,Sweet Talker (Deluxe Version),Bang Bang,relationship,positive
289,19.97,Sylvan Esso,Sylvan Esso,Coffee,none,positive
289,20.10,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
289,20.18,Jhameel,,Feisty,relationship,positive
289,20.25,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
289,23.17,Jhameel,,Feisty,relationship,positive
290,21.60,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
290,21.65,Taylor Swift,1989 (Deluxe),Style,relationship,positive
290,21.70,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
290,21.77,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
290,21.83,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
290,21.90,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
290,21.97,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
290,22.03,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
290,22.10,Taylor Swift,1989 (Deluxe),Style,relationship,positive
290,22.17,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
290,22.23,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
290,22.23,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
290,22.32,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
291,14.42,Jessie J,Sweet Talker (Deluxe Version),Bang Bang,relationship,positive
291,14.63,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
291,14.92,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
291,14.98,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
291,15.05,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
292,13.33,Drake,Nothing Was the Same,Started from the Bottom,work,positive
292,13.48,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
292,13.68,Kendrick Lamar,good kid m.A.A.d city (Deluxe),Backseat Freestyle,work,positive
292,22.88,SBTRKT,NEW DORP. NEW YORK,NEW DORP. NEW YORK,nyc,positive
292,22.93,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
292,5.55,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
292,6.37,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
293,15.22,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
293,15.28,Taylor Swift,1989 (Deluxe),Style,relationship,positive
293,15.35,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
293,15.42,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
293,15.47,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
293,15.53,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
293,2.12,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
293,2.35,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
294,3.03,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
294,3.05,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
294,3.13,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
294,3.20,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
294,3.27,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
294,3.32,Taylor Swift,1989 (Deluxe),Shake It Off,relationship,positive
294,3.40,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
294,3.47,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
295,13.58,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
295,13.65,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
295,13.72,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
295,13.80,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
295,13.87,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
295,14.15,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
295,16.67,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
295,0.90,Jhameel,,Feisty,relationship,positive
295,1.28,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
295,1.35,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
296,16.22,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
296,16.87,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
296,17.17,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
296,17.23,Taylor Swift,1989 (Deluxe),Style,relationship,positive
296,17.30,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
296,17.37,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
296,17.42,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
296,18.43,Jessie J,Sweet Talker (Deluxe Version),Bang Bang,relationship,positive
296,18.48,Jessie J,Sweet Talker (Deluxe Version),Bang Bang,relationship,positive
296,19.10,Jessie J,Sweet Talker (Deluxe Version),Bang Bang,relationship,positive
296,19.40,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
296,19.52,The Blow,The Blow,From the Future,none,positive
296,21.97,Glass Animals,ZABA,Gooey,none,positive
296,22.17,SBTRKT,NEW DORP. NEW YORK,NEW DORP. NEW YORK,nyc,positive
297,21.62,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
297,21.68,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
297,0.57,Sylvan Esso,Hey Mami / Play It Right,Play It Right,nyc,positive
297,0.73,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
297,0.87,Drake,Nothing Was the Same,Started from the Bottom,work,positive
297,3.97,Drake,Nothing Was the Same,Started from the Bottom,work,positive
297,4.03,Ariana Grande,Problem,Problem,relationship,positive
297,4.10,Jessie J,Bang Bang,Bang Bang,relationship,positive
297,4.17,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
297,4.23,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
297,4.28,MÌ÷,No Mythologies to Follow (Deluxe),Walk This Way,work,positive
297,4.35,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
298,15.47,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
298,15.52,Jessie J,Bang Bang,Bang Bang,relationship,positive
298,0.05,Drake,Nothing Was the Same,Started from the Bottom,work,positive
298,0.17,Jay-Z,The Blueprint 3,On to the Next One,none,positive
298,0.48,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
298,0.85,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
298,0.92,Taylor Swift,1989 (Deluxe),Welcome to New York,nyc,positive
299,0.87,Jay-Z,The Blueprint 3,On to the Next One,none,positive
299,1.07,Jhameel,Lion's Den,Feisty,relationship,positive
299,1.22,Drake,Nothing Was the Same,Started from the Bottom,work,positive
299,1.50,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
299,3.28,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
299,3.35,Taylor Swift,1989 (Deluxe),Style,relationship,positive
300,14.15,Drake,Nothing Was the Same,Started from the Bottom,work,positive
300,14.23,Jessie J,Bang Bang,Bang Bang,relationship,positive
300,14.28,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
300,14.57,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
300,14.67,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
300,14.73,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
300,0.33,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
300,0.48,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
300,0.53,Sylvan Esso,Sylvan Esso,Coffee,none,positive
301,5.18,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
301,5.23,Jessie J,Bang Bang,Bang Bang,relationship,positive
301,5.28,Drake,Nothing Was the Same,Started from the Bottom,work,positive
301,5.40,Estelle,Total Club Hits Vol. 2,American Boy,relationship,positive
302,15.78,Jessie J,Bang Bang,Bang Bang,relationship,positive
302,15.85,Drake,Nothing Was the Same,Started from the Bottom,work,positive
302,15.90,Jay-Z,The Blueprint 3,On to the Next One,none,positive
302,16.05,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
302,16.10,Taylor Swift,1989 (Deluxe),Style,relationship,positive
302,16.17,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
302,16.23,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
302,23.70,Jay-Z,The Blueprint 3,On to the Next One,none,positive
302,23.90,Estelle,Total Club Hits Vol. 2,American Boy,relationship,positive
302,23.97,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
302,2.55,Ariana Grande,Problem,Problem,relationship,positive
302,3.02,Jay-Z,The Blueprint 3,On to the Next One,none,positive
302,3.23,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
302,3.30,Drake,Nothing Was the Same,Started from the Bottom,work,positive
303,19.63,Taylor Swift,1989 (Deluxe),Welcome to New York,nyc,positive
303,19.68,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
303,19.88,Drake,Nothing Was the Same,Started from the Bottom,work,positive
305,12.95,Jessie J,Bang Bang,Bang Bang,relationship,positive
305,13.35,Taylor Swift,1989 (Deluxe),Welcome to New York,nyc,positive
305,13.42,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
305,13.50,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
305,13.57,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
305,13.62,Taylor Swift,1989 (Deluxe),Shake It Off,relationship,positive
305,14.02,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
305,14.07,Jessie J,Bang Bang,Bang Bang,relationship,positive
305,16.40,Jay-Z,The Blueprint 3,On to the Next One,none,positive
305,16.55,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
305,0.15,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
305,0.22,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
305,0.27,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
305,3.00,Estelle,Total Club Hits Vol. 2,American Boy,relationship,positive
307,14.97,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
307,15.12,All India Radio,Fall,Far Away,nyc,positive
307,0.28,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
307,3.70,Sylvan Esso,Hey Mami / Play It Right,Play It Right,nyc,positive
308,3.83,Sleater-Kinney,Call the Doctor (Remastered),Good Things,relationship,negative
309,19.12,Jay-Z,The Blueprint 3,On to the Next One,none,positive
309,19.33,Jhameel,Lion's Den,Feisty,relationship,positive
309,19.47,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
309,19.52,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
310,17.47,The Chemical Brothers,Further,K+D+B,none,positive
310,18.18,The Chemical Brothers,Further,K+D+B,none,positive
311,16.42,Estelle,Total Club Hits Vol. 2,American Boy,relationship,positive
311,16.48,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
311,16.55,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
311,16.70,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
311,16.75,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
311,23.52,The Naked and Famous,In Rolling Waves,The Mess,relationship,negative
312,19.12,The Naked and Famous,In Rolling Waves,The Mess,relationship,negative
313,23.37,The Chemical Brothers,Further,K+D+B,none,positive
313,23.47,Charli XCX,True Romance,What I Like,work,positive
313,1.75,Glass Animals,ZABA,Gooey,none,positive
313,3.42,Rilo Kiley,The Execution of All Things,With Arms Outstretched,nyc,negative
314,18.60,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
314,18.77,Jhameel,,Feisty,relationship,positive
314,19.25,Jessie J,Bang Bang,Bang Bang,relationship,positive
314,19.30,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
314,19.33,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
314,20.57,Glass Animals,ZABA,Gooey,none,positive
314,22.60,Jessie J,Sweet Talker,Bang Bang,relationship,positive
315,17.17,Jessie J,Bang Bang,Bang Bang,relationship,positive
315,17.22,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
316,0.22,Ariana Grande,My Everything,Problem,relationship,positive
316,0.45,Jessie J,Bang Bang,Bang Bang,relationship,positive
316,0.68,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
316,0.97,Estelle,Total Club Hits Vol. 2,American Boy,relationship,positive
320,14.45,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
320,14.58,Jay-Z,The Blueprint 3,On to the Next One,none,positive
320,14.67,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
320,14.72,Jessie J,Bang Bang,Bang Bang,relationship,positive
320,14.82,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
320,0.68,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
320,0.83,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
320,0.90,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
320,0.95,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
320,1.02,Jay-Z,The Blueprint 3,On to the Next One,none,positive
320,1.18,Drake,Nothing Was the Same,Started from the Bottom,work,positive
321,15.32,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
321,15.38,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
321,15.58,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
321,15.63,La Roux,La Roux,Bulletproof,relationship,mixed
321,0.63,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
321,0.83,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
321,3.00,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
322,13.50,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
322,16.45,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
322,20.33,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
322,20.42,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
322,2.40,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
323,14.48,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
323,14.57,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
323,14.63,Drake,Nothing Was the Same,Started from the Bottom,work,positive
323,23.40,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
323,2.07,Sylvan Esso,Sylvan Esso,Coffee,none,positive
323,2.22,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
323,2.32,Sylvan Esso,Play It Right,Play It Right,nyc,positive
323,2.37,Sylvan Esso,Coffee,Coffee,none,positive
324,20.67,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
324,20.85,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
324,21.05,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
